8887_281471_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	true	22.725	24.22	26.684412
8887_281471_000001_000000	JEALOUSY.	JEALOUSY.	true	24.74	25.87	24.249304
8887_281471_000002_000000	At the close of the game there was another boy on the field who was quite as glum and downcast as Hooker himself.	At the close of the game there was another boy on the field who was quite as glum and downcast as Hooker himself.	true	27.32	33.91	21.006409
8887_281471_000002_000001	This was Phil Springer, who remained seated on the bench while his team-mates and a portion of the enthusiastic crowd swarmed, cheering, around Grant and lifted him to their shoulders.	This was Phil Springer, who remained seated on the bench while his team mates and a portion of the enthusiastic crowd swarmed, cheering, around Grant and lifted him to their shoulders.	true	34.55	45.79	21.309113
8887_281471_000003_000000	Presently he realized that this behavior on his part must attract attention the moment the excitement relaxed, and he got up with the intention of hurrying at once to the gymnasium.	Presently he realized that this behavior on his part must attract attention the moment the excitement relaxed, and he got up with the intention of hurrying at once to the gymnasium.	true	46.58	58.15	22.011908
8887_281471_000003_000001	Barely had he started, however, when something brought him to a halt, and beneath his breath he muttered:	Barely had he started, however, when something brought him to a halt, and beneath his breath he muttered:	true	58.7	65.23	21.524874
8887_281471_000004_000000	"That won't do.	"That won't do.	true	65.87	67.12	30.77577
8887_281471_000004_000001	They'd notice that, too, and sus-say I was jealous."	They'd notice that, too, and sus say I was jealous."	false	67.28	71.56	22.184183
8887_281471_000005_000000	He was jealous--bitterly so; but he forced himself to join the cheering crowd and to make a half-hearted pretense of rejoicing.	He was jealous-bitterly so; but he forced himself to join the cheering crowd and to make a half hearted pretense of rejoicing.	true	72.71	81.73	21.695995
8887_281471_000005_000001	All the while he was thinking that Grant owed everything to him, and that perhaps he had been foolish in training a fellow to fill his shoes in such an emergency.	All the while he was thinking that Grant owed everything to him, and that perhaps he had been foolish in training a fellow to fill his shoes in such an emergency.	true	82.58	92.08	19.796968
8887_281471_000005_000002	For Phil had long entertained the ambition of becoming the first pitcher on the academy nine, and this year he had been fully confident until the present hour that the goal he sought was his beyond dispute.	For Phil had long entertained the ambition of becoming the first pitcher on the academy nine, and this year he had been fully confident until the present hour that the goal he sought was his beyond dispute.	true	92.99	105.04	20.995796
8887_281471_000006_000000	The victors did not forget to cheer courteously for the vanquished, and Barville returned the compliment with a cheer for Oakdale.	The victors did not forget to cheer courteously for the vanquished, and Barville returned the compliment with a cheer for Oakdale.	false	105.29	112.96	24.801466
8887_281471_000007_000000	So many persons wished to shake hands with Rodney Grant that he laughingly protested, saying they would put his "wing out of commission." Suddenly perceiving Phil, the Texan pushed aside those between them, sprang forward and placed a hand on Springer's shoulder, crying:	So many persons wished to shake hands with Rodney Grant that he laughingly protested, saying they would put his "wing out of commission." Suddenly perceiving Phil, the Texan pushed aside those between them, sprang forward and placed a hand on Springer's shoulder, crying:	true	113.81	132.25	23.80383
8887_281471_000008_000000	"Here's my mentor.	"Here's my mentor.	true	132.47	133.81	25.728495
8887_281471_000008_000001	Only for him, I'd never been able to do it.	Only for him, I'd never been able to do it.	true	133.85	136.51	21.388433
8887_281471_000008_000002	I owe what little I know about pitching to Springer.	I owe what little I know about pitching to Springer.	true	136.76	139.545	23.267427
8887_281471_000008_000003	Let's give him a cheer, fellows."	Let's give him a cheer, fellows."	true	139.545	141.55	22.557203
8887_281471_000009_000000	They did so, but that cheer lacked the spontaneous enthusiasm and genuine admiration which had been thrown into the cheering for Grant, something which Springer did not fail to note.	They did so, but that cheer lacked the spontaneous enthusiasm and genuine admiration which had been thrown into the cheering for Grant, something which Springer did not fail to note.	true	142.64	153.64	21.645418
8887_281471_000010_000000	"Oh, thanks," said Phil, weakly returning the warm grasp of Rod's strong hand.	"Oh, thanks," said Phil, weakly returning the warm grasp of Rod's strong hand.	true	154.28	160.84	24.427994
8887_281471_000010_000001	"I didn't do anything--except blow up."	"I didn't do anything-except blow up."	true	161.18	164.17	27.373304
8887_281471_000011_000000	Under cover of the chatter, joking and laughter, while they were changing their clothes in the dressing room of the gymnasium, Grant, observing the dejection Springer could not hide to save himself, again uttered some friendly words of encouragement.	Under cover of the chatter, joking and laughter, while they were changing their clothes in the dressing room of the gymnasium, Grant, observing the dejection Springer could not hide to save himself, again uttered some friendly words of encouragement.	true	165.11	179.83	21.357197
8887_281471_000012_000000	"Don't you feel so bad about it, old partner," he said.	"Don't you feel so bad about it, old partner," he said.	true	180.44	184.03	21.737146
8887_281471_000012_000001	"The best professional pitchers in the business get their bumps sometimes, and I might have got mine, all right, if I'd started the game on the slab, as you did.	"The best professional pitchers in the business get their bumps sometimes, and I might have got mine, all right, if I'd started the game on the slab, as you did.	true	184.4	193.12	22.17009
8887_281471_000012_000002	You'll make up for that next time."	You'll make up for that next time."	true	193.37	195.25	26.7112
8887_281471_000013_000000	"You're very kind, Grant," was Springer's only response.	"You're very kind, Grant," was Springer's only response.	true	196.1	200.38	24.369675
8887_281471_000014_000000	Phil got away from the others as soon as he could, and hurried home to brood over it.	Phil got away from the others as soon as he could, and hurried home to brood over it.	true	200.96	205.9	22.45322
8887_281471_000014_000001	It had been a hard blow, and he had stood up poorly beneath it.	It had been a hard blow, and he had stood up poorly beneath it.	true	206.27	210.01	20.823729
8887_281471_000014_000002	Thinking the matter over in solitude, he was forced into a realization of the fact that he lacked, in a great measure, the confidence and steadiness characteristic of Rodney Grant, and he could not put aside the conviction that it was Grant, the fellow he had coached, who was destined to become the star pitcher of the nine.	Thinking the matter over in solitude, he was forced into a realization of the fact that he lacked, in a great measure, the confidence and steadiness characteristic of Rodney Grant, and he could not put aside the conviction that it was Grant, the fellow he had coached, who was destined to become the star pitcher of the nine.	true	210.47	229.57	22.915855
8887_281471_000014_000003	In spite of himself, this thought, aided by other unpleasant contemplations, awoke in his heart a sensation of envious resentment toward Rodney.	In spite of himself, this thought, aided by other unpleasant contemplations, awoke in his heart a sensation of envious resentment toward Rodney.	true	230.36	240.13	23.709082
