8887_281472_000000_000000	"Well, say, Hooker," exclaimed Phil, "you're all right!	"Well, say, Hooker," exclaimed Phil, "you're all right!	false	0	3.27	26.860727
8887_281472_000000_000001	I didn't suppose you'd stoop to work, even under such circumstances.	I didn't suppose you'd stoop to work, even under such circumstances.	false	3.27	6.96	20.513443
8887_281472_000000_000002	Do you know, lots of times we're liable to misjudge some one until something happens to show us just the sort of a person he is."	Do you know, lots of times we're liable to misjudge some one until something happens to show us just the sort of a person he is."	false	6.96	15.93	20.575472
8887_281472_000001_000000	"Yes; I suppose that's right," said Roy.	"Yes; I suppose that's right," said Roy.	false	15.93	19.11	18.514296
8887_281472_000001_000001	But he did not look Phil in the eyes.	But he did not look Phil in the eyes.	false	19.11	23.22	24.70672
8887_281472_000002_000000	CHAPTER XV.	CHAPTER fifteen.	true	23.22	24.67	27.486122
8887_281472_000003_000000	PLAIN TALK FROM ELIOT.	PLAIN TALK FROM ELIOT.	true	25.19	27.37	23.40101
8887_281472_000004_000000	"How's your cold, Phil?"	"How's your cold, Phil?"	true	28.61	30.22	24.359934
8887_281472_000005_000000	It was Eliot who asked the question, and Springer, pausing with one foot on the academy steps, replied:	It was Eliot who asked the question, and Springer, pausing with one foot on the academy steps, replied:	true	30.74	37.33	25.475166
8887_281472_000006_000000	"Oh, it's some bub-better, I think."	"Oh, it's some bub better, I think."	true	37.64	40.27	21.80539
8887_281472_000007_000000	"Glad to hear it," said Roger, slipping his arm through Springer's. "Come on, let's walk over yonder to the fence.	"Glad to hear it," said Roger, slipping his arm through Springer's. "Come on, let's walk over yonder to the fence.	true	40.82	48.07	24.604977
8887_281472_000007_000001	I want to have a little chin with you.	I want to have a little chin with you.	true	48.08	50.08	28.504505
8887_281472_000007_000002	It will be ten minutes yet before school begins."	It will be ten minutes yet before school begins."	true	50.33	53.05	22.408098
8887_281472_000008_000000	Together they walked to the fence at the back of the yard, pausing beneath one of the tall old trees which was putting forth tender green leaves.	Together they walked to the fence at the back of the yard, pausing beneath one of the tall old trees which was putting forth tender green leaves.	true	53.54	61.81	22.400812
8887_281472_000008_000001	Leaning against the fence, the captain of the nine faced his companion.	Leaning against the fence, the captain of the nine faced his companion.	true	62.27	66.52	20.691397
8887_281472_000009_000000	"As a rule," he began, "you've been a great enthusiast over baseball, and I didn't think you'd let a slight cold keep you away from practice. Exercise is one of the best remedies for a cold, if a person takes care of himself when he's through exercising."	"As a rule," he began, "you've been a great enthusiast over baseball, and I didn't think you'd let a slight cold keep you away from practice. Exercise is one of the best remedies for a cold, if a person takes care of himself when he's through exercising."	true	67.28	82.9	22.04726
8887_281472_000010_000000	"I know that," said Phil, poking his toe into an ant's nest and declining to meet Roger's steady, level gaze; "but, really, I--I was feeling pretty rotten, you know, and I didn't have mum-much heart for practice."	"I know that," said Phil, poking his toe into an ant's nest and declining to meet Roger's steady, level gaze; "but, really, I-I was feeling pretty rotten, you know, and I didn't have mum much heart for practice."	true	83.87	98.92	22.254784
8887_281472_000011_000000	"Yes," said the captain, "I'm afraid that was the principal trouble--you didn't have much heart for it.	"Yes," said the captain, "I'm afraid that was the principal trouble-you didn't have much heart for it.	true	99.77	105.88	22.023878
8887_281472_000011_000001	You lost heart in the game, and you haven't braced up yet.	You lost heart in the game, and you haven't braced up yet.	true	106.37	109.72	23.669537
8887_281472_000011_000002	I hardly thought it of you, Phil; I didn't expect you to play the baby."	I hardly thought it of you, Phil; I didn't expect you to play the baby."	true	110.18	114.52	24.661772
